Age,Income,Employment Duration,Debt,Credit Score,Number of Dependents,Marital Status,Loan Amount Requested,Loan Duration,Loan Approval
64,6741,4,3118,451,1,Divorced,9528,18,0
41,14281,16,2132,714,3,Single,8221,45,1
43,7838,29,9901,625,4,Single,2657,16,0
42,19971,8,7225,850,5,Single,10268,51,1
62,4262,5,990,475,0,Divorced,805,53,0
58,18722,24,710,824,5,Divorced,7623,48,1
46,5996,18,4304,614,4,Divorced,2553,56,0
32,12826,15,5367,366,5,Divorced,11582,59,0
62,3827,20,38,483,1,Single,6312,47,0
18,15211,1,1275,334,0,Single,3844,31,0
42,6232,9,7069,804,4,Married,4956,45,0
24,3217,15,4857,375,2,Single,1708,16,0
26,15232,36,1436,771,3,Divorced,2358,30,1
41,15026,14,9661,822,5,Divorced,3203,45,0
18,14878,12,2099,582,5,Single,2471,30,1
61,7837,12,8565,835,4,Married,13911,25,0
25,8031,31,7693,573,3,Divorced,1613,47,0
41,15806,7,4251,838,5,Married,1483,54,1
28,4716,17,4025,353,2,Divorced,14057,60,0
34,4414,35,9305,354,4,Divorced,12002,16,0
25,18832,25,6212,576,1,Single,12693,49,1
52,1570,9,3234,742,0,Divorced,11463,15,0
52,14288,30,9457,717,2,Married,11844,57,0
50,19889,32,7662,524,3,Married,10854,54,1
22,1917,28,7550,554,3,Single,2627,8,0
59,11066,4,3123,475,2,Divorced,4139,44,0
56,7982,12,653,445,1,Married,12966,32,0
58,7336,0,4158,684,5,Single,7976,40,0
45,19062,22,8700,561,1,Married,1060,54,1
24,17999,39,9879,830,5,Single,7152,60,0
26,10941,2,5543,670,5,Married,10501,45,0
25,13380,2,9580,496,3,Divorced,4887,36,0
29,12667,6,2197,583,5,Married,3432,26,1
51,5529,35,3911,601,2,Married,8982,27,0
50,18519,34,5235,431,5,Single,13329,24,0
65,13192,14,4799,419,2,Single,2409,19,0
40,9566,39,8707,435,0,Single,7730,42,0
41,8226,2,5360,828,3,Married,13381,56,0
54,6162,28,8221,333,1,Single,1928,50,0
52,17590,29,325,831,4,Divorced,1447,55,1
61,2319,38,3766,507,1,Single,11219,28,0
57,2141,17,4111,598,1,Single,1848,31,0
39,5627,10,8302,821,4,Divorced,9072,48,0
44,15501,37,7015,393,3,Single,10396,60,0
52,3690,39,6856,713,5,Single,809,49,0
18,8323,0,106,670,0,Married,3914,45,0
52,4255,28,2426,708,1,Married,6289,17,0
54,6213,9,4378,682,5,Single,10190,6,0
64,5108,27,4364,740,1,Divorced,11586,55,0
31,19241,30,2531,746,3,Single,7068,39,1
20,10802,18,6810,370,3,Single,13953,49,0
18,12413,2,5316,383,2,Single,9352,24,0
22,15995,35,5362,508,3,Married,3947,28,1
43,13583,14,4693,558,3,Divorced,2773,12,1
31,6021,32,8990,538,1,Divorced,10189,12,0
56,19771,40,5268,601,0,Divorced,10764,6,1
44,7582,25,2011,531,1,Married,12128,23,1
26,14455,15,425,581,5,Married,2642,13,1
32,14117,35,3044,693,3,Single,13352,30,1
32,19950,32,6229,717,2,Married,10297,47,1
43,18359,19,1239,505,0,Single,13987,34,1
59,2262,12,6566,563,2,Married,5239,28,0
30,8382,32,3391,610,4,Single,10123,34,1
49,4327,4,4213,378,2,Married,10642,6,0
56,19643,36,3997,641,2,Divorced,12614,20,1
49,11020,13,3006,394,5,Single,958,20,0
21,18641,26,7025,650,3,Married,8080,33,1
47,17848,22,3039,361,5,Married,11640,41,0
54,15062,13,6558,441,3,Single,837,47,0
40,7774,39,8790,410,5,Married,12635,45,0
56,16160,3,1184,826,3,Divorced,5950,37,1
62,2230,38,2584,456,3,Single,7880,51,0
32,10076,18,8102,838,3,Single,10705,18,0
60,4805,3,7116,308,2,Single,4520,26,0
46,15715,29,4383,575,4,Single,9036,54,1
53,6750,18,3936,526,3,Single,13363,44,0
30,16627,30,1699,485,4,Divorced,14358,43,0
49,14232,30,4507,515,4,Single,6143,14,1
24,4135,8,135,732,1,Divorced,1442,25,1
39,7953,12,2025,655,1,Divorced,845,25,1
45,2546,13,3535,691,0,Divorced,4394,13,0
19,16457,9,4854,574,5,Single,12011,19,1
59,18478,30,5367,793,1,Divorced,12387,25,1
62,3411,36,2890,750,3,Single,9016,40,0
23,15113,22,2757,719,4,Divorced,7110,60,1
45,5145,26,3773,463,5,Single,2638,50,0
45,3775,5,8572,482,0,Married,4889,26,0
61,14193,25,6652,609,1,Married,12304,46,1
61,13851,1,1528,316,2,Divorced,9215,58,0
37,14070,12,4571,745,5,Married,8326,46,1
47,4970,18,5049,469,0,Divorced,8316,59,0
28,15119,0,848,579,3,Divorced,11589,27,0
45,5331,39,4127,639,5,Divorced,12432,48,0
42,11295,31,7351,818,4,Married,758,11,0
56,2942,21,5866,310,3,Divorced,1610,60,0
50,17575,28,5869,823,3,Married,7825,49,1
18,14404,1,2121,432,5,Married,14305,32,0
44,1861,39,4681,447,2,Single,6987,9,0
30,10275,37,472,378,2,Married,1320,9,0
58,18033,10,1787,645,5,Single,6488,33,1
20,5134,16,113,548,5,Divorced,11480,60,1
56,12803,7,9528,841,5,Divorced,6135,32,0
23,16408,21,6473,323,4,Single,5164,59,0
25,18420,3,8530,770,1,Divorced,7593,22,1
44,17351,10,2285,500,3,Single,5104,44,1
26,5131,7,1196,430,5,Single,2063,43,0
54,19532,8,78,655,1,Divorced,14851,57,1
50,13057,25,4559,449,4,Single,13312,34,0
59,12349,1,6017,825,3,Single,6843,45,1
61,12486,15,2652,603,1,Single,9899,12,1
41,6457,30,4318,840,3,Divorced,9000,13,0
32,7079,5,5385,349,2,Divorced,2339,46,0
49,13453,20,9448,763,5,Divorced,8175,38,0
49,19814,25,7054,539,2,Divorced,12044,37,1
41,19263,18,827,781,0,Divorced,8501,40,1
58,13158,27,4923,754,4,Married,10075,23,1
29,16735,7,3385,582,5,Married,2806,56,1
56,16830,13,6056,634,1,Single,14730,48,1
19,16125,23,1965,651,3,Married,9872,21,1
20,12905,36,2427,626,0,Divorced,11164,23,1
54,13298,25,2841,635,4,Divorced,5640,43,1
34,3011,30,8805,380,4,Divorced,3186,30,0
19,4373,31,8754,386,4,Single,11659,39,0
19,11335,40,6563,557,1,Single,13799,9,0
45,11692,1,5840,484,5,Single,13137,10,0
40,15527,24,7810,422,2,Single,1460,58,0
54,13773,1,6064,395,0,Single,12148,19,0
49,2289,0,7144,814,1,Single,9129,6,0
50,2447,35,4352,742,3,Married,955,27,0
18,15139,11,184,813,1,Divorced,7267,51,1
36,14757,8,5809,670,3,Married,4317,26,1
19,6462,35,4065,604,3,Single,10261,18,0
61,8657,40,7181,656,4,Divorced,9795,59,0
43,5920,27,8437,447,1,Divorced,14263,53,0
49,11345,37,7504,584,2,Divorced,10310,41,0
23,9417,32,7426,561,3,Married,12304,34,0
49,18160,21,9057,790,4,Divorced,2012,43,1
21,6208,24,2087,330,2,Single,5238,14,0
28,1687,17,600,567,1,Single,891,38,1
34,17913,5,7804,311,2,Married,3121,27,0
55,14223,17,5537,490,1,Married,6676,22,0
41,9080,15,3033,699,3,Single,9612,28,1
22,19537,14,2056,836,0,Married,6219,41,1
51,10486,7,8724,390,0,Divorced,6541,11,0
23,7094,12,5084,800,5,Married,11149,53,0
39,8692,6,2042,600,5,Divorced,4100,44,1
28,12088,16,7960,410,3,Divorced,5710,34,0
65,4103,31,357,379,2,Divorced,5008,32,0
33,3440,21,377,732,1,Divorced,6942,10,1
50,8124,12,4488,716,0,Divorced,8154,14,0
26,18228,22,4797,513,1,Single,10480,29,1
23,15031,28,3307,746,3,Single,6716,24,1
33,15536,21,2596,317,2,Single,8385,38,0
46,1446,0,783,353,1,Divorced,760,35,0
20,4915,28,5924,539,2,Married,7333,45,0
37,16787,4,2379,717,0,Married,10705,57,1
53,18618,34,7831,785,1,Divorced,10027,60,1
36,7587,9,9174,743,4,Married,13746,9,0
43,1226,18,9234,422,0,Divorced,6444,60,0
20,12151,36,5267,719,2,Married,6634,37,1
36,6558,6,7638,515,3,Divorced,7375,54,0
37,12971,34,2538,719,4,Married,7328,6,1
49,1186,12,861,850,5,Married,13976,39,0
24,15680,9,1876,527,1,Single,834,26,1
58,15559,1,3526,536,5,Married,8169,36,1
50,12069,5,9877,629,0,Married,3279,19,0
57,3535,7,1622,768,1,Divorced,9495,31,1
56,2932,35,5518,786,1,Married,7828,27,0
35,3032,24,2657,848,4,Married,2937,39,0
57,2252,39,1932,714,4,Married,3307,38,0
18,6509,6,8699,518,4,Married,13759,18,0
28,6074,22,3478,680,4,Married,5690,37,0
45,14900,18,2656,386,3,Single,9632,60,0
42,15523,21,9313,760,2,Married,3663,13,0
40,2881,12,289,710,4,Divorced,9594,27,1
48,1269,20,7011,824,0,Divorced,12124,46,0
47,2630,0,5858,746,1,Married,7988,25,0
59,18958,18,7323,599,5,Married,9960,26,1
52,14383,32,2829,707,4,Married,523,39,1
24,17152,3,5962,674,0,Single,5152,54,1
33,12084,2,4812,532,3,Divorced,3248,35,1
43,2695,26,7264,348,0,Single,2950,11,0
65,15821,40,9592,485,5,Single,10088,40,0
19,4262,34,8758,504,5,Married,8595,32,0
18,2445,27,1473,377,0,Married,3857,25,0
65,17436,5,1987,780,3,Divorced,12596,54,1
29,10949,5,7673,685,5,Married,8595,43,0
22,19050,22,3260,493,3,Divorced,11180,45,0
54,7901,32,7490,402,1,Single,8583,19,0
49,1719,15,6739,675,4,Divorced,6472,15,0
26,9597,23,3251,586,5,Divorced,12358,57,1
58,7855,4,5905,781,0,Divorced,10449,47,0
52,19678,40,5300,549,2,Single,13669,20,1
36,9263,12,5054,500,2,Single,8655,45,0
65,15520,11,1716,835,1,Married,7569,48,1
33,12874,4,9204,760,2,Married,10570,53,0
20,15079,36,1310,599,1,Divorced,5838,8,1
37,18082,30,617,777,4,Divorced,3032,20,1
41,8243,27,4257,382,1,Single,12206,50,0
50,10018,27,6099,757,3,Single,5837,36,0
41,17732,29,468,597,3,Single,4273,16,1
28,13100,17,5905,663,3,Divorced,10770,51,1
25,17691,26,1139,339,5,Divorced,6965,44,0
53,5820,34,9628,639,3,Single,14061,24,0
55,12001,25,8728,815,3,Divorced,5161,20,0
57,14907,38,951,407,3,Single,2557,43,0
37,12669,17,8012,615,3,Married,1177,25,0
52,16916,32,3006,413,5,Single,13638,27,0
65,11878,24,6075,466,3,Divorced,3474,12,0
42,3985,30,7890,560,3,Divorced,8976,19,0
52,9112,36,5952,523,4,Divorced,10892,59,0
42,9467,1,7077,561,5,Divorced,6148,9,0
46,19931,32,9042,550,3,Single,13158,14,1
35,1336,38,1971,825,1,Single,6944,44,0
63,11165,31,1191,425,4,Married,2340,30,0
35,13768,17,3920,505,5,Single,2378,52,1
19,4968,16,7765,439,2,Married,6789,40,0
52,1910,33,6193,361,0,Single,10302,42,0
33,19380,38,3046,582,5,Single,12654,54,1
58,16632,6,304,353,4,Divorced,7719,32,0
53,17279,34,6339,645,3,Married,12928,33,1
50,4129,29,8043,823,4,Divorced,11851,29,0
21,6447,11,4908,435,0,Divorced,12190,38,0
50,7129,34,2804,629,0,Single,10823,38,1
31,6850,10,3936,443,5,Single,3814,21,0
38,8446,3,712,735,3,Married,13917,28,1
65,12949,24,6848,581,3,Married,14415,51,0
37,9519,31,9873,435,1,Single,1878,16,0
25,1314,19,9525,788,0,Married,14856,51,0
24,12737,30,8366,700,3,Single,11769,45,0
20,2134,3,3205,748,0,Single,11706,24,0
34,11938,37,5185,569,1,Single,5840,39,1
50,16588,0,9608,316,2,Married,12584,28,0
65,9347,2,6506,568,0,Divorced,13898,15,0
29,6592,36,1772,781,1,Married,10407,42,1
39,19108,21,1074,518,1,Divorced,952,52,1
39,18270,16,5447,618,1,Married,9033,6,1
63,11997,13,8783,537,4,Divorced,892,7,0
47,1721,40,5264,844,5,Divorced,5971,56,0
55,10104,34,7322,584,3,Married,1769,27,0
55,1870,12,6651,336,0,Married,8637,22,0
62,7751,34,2410,402,5,Divorced,14497,52,0
25,17881,1,9039,729,4,Single,3550,29,0
44,2756,12,6441,538,0,Divorced,7780,55,0
44,2117,15,8685,424,5,Divorced,12751,26,0
51,12601,17,8737,487,4,Single,9662,45,0
38,3828,6,9732,555,3,Divorced,14394,34,0
47,15996,35,9075,829,1,Single,10897,58,0
50,19031,40,3956,691,5,Single,5294,19,1
45,14878,29,6553,767,5,Married,7910,13,1
64,7992,40,6869,552,0,Divorced,665,35,0
50,14778,6,7531,475,1,Divorced,14869,27,0
22,7771,14,3094,765,3,Single,8946,28,1
65,17526,39,2365,588,0,Divorced,8993,45,1
36,4435,18,6668,349,2,Single,6863,56,0
21,7622,36,5000,303,2,Divorced,11795,18,0
52,13852,1,7920,799,2,Divorced,8579,33,0
34,15806,12,3347,522,3,Single,5530,35,1
61,11623,39,3675,561,2,Single,12532,10,1
45,2848,40,952,834,5,Divorced,11248,15,1
47,3696,30,3300,675,0,Divorced,2005,44,0
46,2717,15,3179,360,5,Single,9948,14,0
63,10259,5,3247,655,2,Married,13740,19,1
23,3786,27,4415,323,0,Married,10954,43,0
52,15154,31,3357,592,5,Divorced,7909,15,1
58,14409,9,6472,655,3,Divorced,4840,38,1
54,4791,17,5996,328,1,Divorced,14855,16,0
41,4871,3,4848,656,5,Single,709,45,0
46,2806,8,5475,664,4,Divorced,4293,11,0
63,18888,6,1037,708,2,Divorced,5021,22,1
48,14304,7,8262,565,4,Divorced,3547,41,0
52,19074,6,7008,590,1,Married,1480,11,1
50,16549,40,5931,452,3,Divorced,2619,52,0
38,4303,39,5642,518,5,Divorced,4245,15,0
49,17061,2,105,472,3,Single,677,54,0
40,16198,16,769,311,1,Married,2046,47,0
50,18888,1,2940,815,4,Single,14686,10,1
20,11655,14,7899,661,5,Divorced,10726,24,0
35,9924,28,6614,776,2,Divorced,8990,12,0
42,10940,21,5805,381,0,Divorced,11259,29,0
59,4924,3,4355,639,3,Divorced,4066,56,0
48,10783,5,933,740,1,Divorced,12731,47,1
20,5485,37,8766,525,5,Single,774,24,0
57,13629,25,5660,670,4,Divorced,14516,16,1
63,14233,10,5906,327,2,Divorced,14634,8,0
41,13901,25,6050,315,4,Married,3495,35,0
49,1191,16,8261,576,2,Married,14582,48,0
64,5917,23,4474,632,5,Divorced,552,43,0
39,6831,27,9494,782,0,Divorced,8275,11,0
40,11160,34,254,587,0,Divorced,14633,52,1
19,14682,30,9899,413,1,Divorced,10115,40,0
44,13391,12,7087,337,1,Divorced,14225,27,0
59,2874,34,4787,753,2,Divorced,2127,16,0
19,10062,15,7862,465,2,Single,6543,13,0
43,5763,14,9025,504,2,Single,8323,32,0
34,11234,17,6356,544,2,Single,9180,34,0
57,10221,36,3742,632,5,Married,11046,60,1
50,12410,40,2035,695,5,Divorced,9108,60,1
26,15519,26,1967,806,0,Married,11248,13,1
60,2051,34,8291,420,1,Married,9612,28,0
65,13225,34,1852,558,1,Married,2053,34,1
56,10765,27,3183,709,3,Single,11377,21,1
46,12382,38,6618,609,1,Divorced,9357,40,0
59,13580,37,8303,367,1,Divorced,12793,13,0
43,12989,8,182,413,4,Married,2969,13,0
52,12939,11,6740,519,4,Single,1974,50,0
42,19489,14,164,519,3,Married,6977,38,1
41,1307,20,6958,772,2,Married,14259,47,0
30,4359,34,2137,685,3,Divorced,837,10,1
24,4176,32,454,597,3,Single,7491,42,1
53,2251,18,2285,552,0,Divorced,11851,22,0
62,6366,22,7846,704,5,Married,8960,27,0
37,18901,12,4822,791,1,Divorced,14900,19,1
18,7226,0,541,656,0,Married,1587,43,0
25,15330,28,6033,727,5,Single,1793,37,1
63,5891,23,2665,514,1,Divorced,9348,19,1
33,5992,15,7149,679,3,Divorced,14188,49,0
31,2961,24,5798,513,1,Divorced,6464,25,0
29,13497,22,5785,397,2,Divorced,3328,27,0
40,11848,27,4614,827,2,Divorced,6972,35,1
32,14255,15,4292,827,3,Single,4473,59,1
45,5567,37,6189,834,4,Single,7161,38,0
51,17079,10,6673,848,2,Divorced,14444,10,1
19,7513,2,1688,627,3,Married,5457,23,1
49,16235,14,5095,464,0,Married,7064,51,0
40,12755,0,7583,415,4,Divorced,1836,12,0
39,12151,6,7824,449,2,Divorced,11048,34,0
42,17567,0,1637,817,3,Single,2167,52,0
39,4358,31,5966,331,3,Single,2325,14,0
39,10590,8,4670,592,0,Divorced,12722,52,1
59,11988,28,5203,476,0,Divorced,1712,53,0
23,8678,25,5134,360,4,Married,3268,46,0
32,6698,22,1890,715,5,Single,13853,12,1
60,2273,28,3205,682,2,Divorced,13107,12,0
54,12241,37,8669,306,3,Single,11750,54,0
50,18480,32,2366,384,4,Divorced,6276,48,0
25,10497,6,7559,697,4,Divorced,944,11,0
61,10107,11,2526,692,0,Divorced,10089,51,1
61,12273,30,7807,346,3,Divorced,4881,52,0
22,9002,31,366,640,1,Married,10910,58,1
56,5247,19,6521,797,5,Divorced,4176,45,0
21,10220,16,9907,777,5,Married,2810,32,0
23,11703,35,6606,725,0,Married,4540,9,0
62,16472,2,12,725,3,Divorced,7585,6,1
49,17654,0,8727,814,4,Single,12298,11,1
47,18570,26,3239,428,5,Single,2327,36,0
64,13392,39,2317,548,4,Divorced,6785,6,1
52,12956,32,4042,430,2,Divorced,3719,58,0
57,16641,19,7485,622,1,Divorced,6059,10,1
33,14998,13,375,842,0,Single,7271,24,1
30,7305,35,9916,365,5,Single,5188,10,0
59,19782,4,256,400,2,Divorced,5011,59,0
47,13721,22,449,330,2,Single,2572,10,0
36,7995,14,9085,490,1,Married,7270,54,0
34,13427,5,3212,714,0,Single,12881,36,1
36,14782,32,9376,799,0,Single,6828,49,0
45,3230,18,6175,345,4,Divorced,2830,12,0
43,7511,12,5943,388,0,Married,13966,20,0
54,17512,28,8026,674,2,Divorced,1185,56,1
43,10461,5,7446,545,4,Single,5458,60,0
40,5765,14,1308,556,0,Married,1184,58,1
26,14272,15,9108,651,1,Divorced,13825,18,0
29,6552,23,8339,404,2,Single,11629,17,0
18,1627,22,4016,636,3,Married,12403,24,0
18,12989,9,3940,825,1,Divorced,9032,18,1
64,14780,40,6713,600,1,Married,13391,32,1
51,7589,40,4071,376,0,Single,14594,43,0
49,3044,16,8107,810,4,Divorced,1233,38,0
65,14171,29,5912,529,4,Single,1996,11,1
42,19725,9,442,331,2,Married,12585,18,0
57,6884,18,2944,357,0,Single,11646,18,0
62,9185,28,3936,403,4,Married,9823,18,0
18,1249,1,398,611,5,Divorced,5950,25,1
33,18358,35,9343,366,3,Single,5135,41,0
56,10175,18,2995,673,5,Divorced,2232,42,1
22,17260,6,6329,534,0,Divorced,11727,50,1
39,3672,25,2216,411,0,Divorced,14523,14,0
46,8279,14,1707,688,4,Divorced,11405,22,1
20,9662,37,5766,707,1,Single,7027,40,0
29,2987,2,5677,353,0,Single,7225,57,0
43,17474,37,2568,538,1,Divorced,6803,23,1
33,13948,15,7638,594,2,Divorced,11171,30,0
54,14026,1,160,411,2,Married,8531,20,0
39,3773,30,8067,387,4,Divorced,1919,28,0
46,14159,27,3904,775,2,Married,10681,6,1
31,10878,6,3573,603,5,Married,5210,46,1
45,11178,29,1825,604,5,Divorced,9179,43,1
22,11377,6,9815,589,5,Single,12511,23,0
64,8347,35,5582,507,4,Married,14000,6,0
47,2008,28,1176,669,4,Single,1941,59,0
63,4783,23,4918,519,5,Divorced,2890,44,0
22,5298,38,4880,530,1,Divorced,1884,15,0
29,5668,3,3220,648,5,Divorced,2656,36,0
33,3052,28,7820,554,1,Divorced,13636,43,0
43,2716,4,130,751,2,Married,4896,12,1
43,1310,28,6659,441,1,Married,1891,43,0
65,15391,29,3562,368,0,Single,7922,13,0
38,2260,28,1499,388,3,Single,5935,39,0
56,14157,25,7430,435,0,Married,5300,14,0
53,12460,18,7705,822,0,Divorced,3642,30,0
50,17968,25,7626,741,4,Single,768,32,1
47,15011,36,6679,337,3,Married,4417,46,0
54,3866,26,2788,507,4,Single,10216,12,0
40,15365,29,4876,509,1,Married,9169,37,1
27,6898,29,3708,812,5,Divorced,4771,14,0
22,19395,2,9899,659,1,Married,738,22,0
53,7251,6,1769,300,3,Single,14756,40,0
51,5939,8,9510,680,2,Married,9301,53,0
48,5006,40,6731,836,1,Single,7502,21,0
27,2625,12,3044,693,0,Single,8268,7,0
36,11956,14,375,349,3,Single,6383,48,0
49,18274,4,6347,695,3,Divorced,13279,36,1
18,7078,28,3036,331,1,Divorced,14934,21,0
22,9923,34,8852,844,1,Married,13116,52,0
62,4961,26,6218,533,4,Married,12089,38,0
21,19888,26,9595,325,4,Single,13232,26,0
33,9806,7,740,733,0,Divorced,6285,22,1
41,19103,31,8495,360,3,Married,5593,40,0
33,14558,19,1085,740,2,Married,6938,59,1
19,7686,9,1210,429,2,Divorced,13229,59,0
45,2587,12,8420,653,3,Single,13582,56,0
49,10803,28,3119,497,0,Married,10523,57,0
44,18280,34,267,670,4,Single,13678,12,1
37,11350,7,2774,446,4,Divorced,6674,59,0
41,19816,28,4349,797,4,Divorced,9846,34,1
29,12454,30,4965,347,2,Married,10443,16,0
52,16849,40,8125,471,2,Married,12290,35,0
50,7837,29,3459,614,0,Divorced,11177,23,1
50,2449,21,989,675,2,Single,5945,51,1
60,6454,20,937,832,1,Single,3838,21,1
54,10424,11,6654,719,2,Divorced,2833,11,0
29,5117,10,6989,695,4,Married,4886,7,0
20,9869,1,8631,821,0,Divorced,13155,60,0
18,11850,40,7342,486,3,Married,5081,48,0
50,19412,1,6023,332,3,Single,7198,48,0
57,15343,33,2358,368,0,Married,8859,15,0
27,7845,2,3345,490,1,Single,14672,9,0
60,5624,15,6360,400,3,Divorced,4042,54,0
61,9848,3,4816,784,4,Married,12701,15,1
46,17549,22,3743,584,3,Single,6386,14,1
30,14136,19,7159,689,3,Married,8554,50,0
29,1589,24,518,459,4,Single,7414,48,0
48,7509,29,268,346,2,Single,8013,47,0
63,8693,17,5444,458,1,Divorced,8769,29,0
19,10454,10,5475,745,4,Divorced,11590,10,0
52,17455,28,4185,822,4,Married,1608,40,1
40,12708,16,5161,454,5,Single,9583,9,0
34,13942,25,9580,638,0,Divorced,5256,40,0
43,17652,22,9886,664,1,Married,1724,47,0
25,10968,19,9581,447,2,Divorced,13376,18,0
46,3462,1,3865,443,5,Married,8028,42,0
43,10460,23,8011,402,4,Divorced,9256,37,0
27,2015,30,2335,392,5,Divorced,3359,50,0
43,10275,26,3674,585,2,Single,8993,6,1
51,14269,1,4576,723,5,Single,13081,16,1
58,1406,13,500,418,5,Divorced,8800,31,0
24,8384,3,9853,328,5,Single,2912,8,0
21,12268,12,8083,810,4,Divorced,3147,54,0
62,18369,35,8294,329,4,Married,11417,56,0
28,12795,34,5543,665,0,Divorced,14305,18,1
46,5485,7,2746,437,3,Divorced,3838,37,0
53,9901,1,3276,774,1,Married,10832,53,1
42,3618,5,3085,691,0,Married,6304,55,0
38,10603,30,5735,734,2,Single,7731,28,0
53,7928,9,7796,533,5,Married,5023,57,0
27,6368,20,6613,354,4,Single,13425,28,0
54,5621,9,1327,591,5,Divorced,4313,56,1
26,15719,22,7772,611,4,Married,12892,35,1
41,12126,2,9871,847,1,Divorced,10948,11,0
52,8566,31,3746,388,0,Single,4145,60,0
52,13306,19,5684,511,0,Married,11751,12,1
65,16086,9,2562,617,2,Single,11213,52,1
53,18387,28,4163,764,0,Single,13872,35,1
35,19850,40,3317,386,0,Married,3917,42,0
56,19323,33,2436,708,3,Married,511,53,1
49,19019,36,5769,539,1,Single,7109,37,1
41,10890,19,8499,356,5,Married,13436,11,0
40,9095,7,5918,412,0,Single,11958,40,0
