Age,Gender,Race,Marital Status,Education Level,Years of Experience,Skills Score,Culture Fit Score,Job Role Applied For,Hiring Decision
22,Prefer not to say,Other,Divorced,High School,0,1,4,HR,Not Hired
43,Prefer not to say,White,Single,High School,16,10,2,Sales,Not Hired
31,Non-Binary,White,Single,High School,32,7,2,Sales,Hired
56,Non-Binary,Other,Married,High School,28,10,7,Marketing,Hired
44,Prefer not to say,Asian,Single,Bachelor's,30,1,10,HR,Hired
26,Non-Binary,Black,Divorced,Master's,7,3,7,Marketing,Not Hired
32,Female,Asian,Divorced,PhD,29,3,4,Engineer,Hired
32,Female,Prefer not to say,Single,Bachelor's,12,10,4,Engineer,Not Hired
43,Non-Binary,Hispanic,Divorced,Master's,15,2,4,Sales,Not Hired
59,Prefer not to say,Hispanic,Single,PhD,1,10,2,HR,Not Hired
30,Male,Hispanic,Divorced,High School,17,5,9,Sales,Hired
49,Non-Binary,Other,Married,PhD,34,4,1,HR,Hired
56,Non-Binary,White,Divorced,PhD,18,6,8,Marketing,Hired
49,Male,Asian,Married,Master's,12,2,6,Engineer,Not Hired
21,Non-Binary,Black,Married,PhD,3,4,10,Engineer,Not Hired
47,Male,Hispanic,Single,High School,18,7,7,Marketing,Hired
54,Prefer not to say,Asian,Married,Bachelor's,24,1,5,Management,Not Hired
40,Female,Hispanic,Divorced,Bachelor's,37,3,6,Management,Not Hired
56,Prefer not to say,Hispanic,Divorced,Master's,30,1,6,Management,Hired
62,Female,Black,Married,High School,35,2,9,HR,Hired
32,Male,Prefer not to say,Single,High School,3,9,10,Marketing,Not Hired
60,Female,Prefer not to say,Married,PhD,38,10,4,HR,Hired
46,Prefer not to say,Prefer not to say,Divorced,Master's,6,5,5,HR,Not Hired
53,Female,Other,Divorced,High School,15,4,4,Marketing,Not Hired
30,Male,White,Married,High School,4,4,1,HR,Not Hired
49,Female,Other,Married,High School,22,8,10,Marketing,Hired
24,Non-Binary,Asian,Married,Bachelor's,35,3,6,Management,Not Hired
39,Prefer not to say,Other,Divorced,Bachelor's,31,4,5,Management,Hired
45,Non-Binary,Asian,Divorced,Bachelor's,23,2,4,HR,Not Hired
19,Male,Asian,Divorced,PhD,24,6,6,Engineer,Not Hired
59,Female,White,Single,PhD,27,9,5,Marketing,Hired
62,Non-Binary,Black,Divorced,PhD,18,4,3,Sales,Not Hired
23,Non-Binary,White,Divorced,High School,6,6,2,Sales,Not Hired
45,Female,Prefer not to say,Single,Bachelor's,40,4,6,HR,Hired
45,Female,Prefer not to say,Single,High School,16,2,4,Engineer,Not Hired
61,Prefer not to say,Other,Single,High School,1,6,10,Marketing,Hired
61,Non-Binary,Asian,Single,Master's,15,7,3,Management,Hired
37,Non-Binary,Hispanic,Single,High School,38,4,8,HR,Hired
47,Male,Hispanic,Single,PhD,17,7,9,Marketing,Hired
28,Prefer not to say,Asian,Married,Bachelor's,38,8,7,Marketing,Hired
45,Male,White,Married,Bachelor's,0,3,2,Marketing,Not Hired
42,Non-Binary,Black,Married,High School,2,2,8,Engineer,Not Hired
56,Male,White,Married,PhD,20,5,5,Marketing,Not Hired
50,Non-Binary,Asian,Divorced,PhD,29,2,10,Engineer,Hired
18,Non-Binary,Asian,Single,PhD,10,10,7,Engineer,Hired
44,Male,Black,Divorced,Bachelor's,21,5,5,Marketing,Hired
30,Male,Other,Single,PhD,24,10,2,Management,Hired
58,Female,Other,Single,PhD,2,6,4,Marketing,Not Hired
20,Female,Black,Divorced,High School,29,8,5,Management,Hired
56,Female,Other,Married,Master's,23,6,6,HR,Hired
23,Non-Binary,Hispanic,Divorced,PhD,35,4,5,Sales,Not Hired
25,Male,Other,Divorced,High School,22,3,10,HR,Hired
44,Prefer not to say,Other,Single,High School,7,2,1,Engineer,Not Hired
26,Non-Binary,Other,Single,PhD,3,1,1,HR,Not Hired
54,Prefer not to say,Hispanic,Single,Master's,38,2,3,Sales,Hired
50,Male,Other,Married,Bachelor's,30,2,9,Sales,Hired
59,Non-Binary,Prefer not to say,Divorced,Master's,28,5,2,Management,Not Hired
61,Prefer not to say,Hispanic,Divorced,PhD,35,9,10,HR,Hired
41,Prefer not to say,Black,Married,Master's,12,1,5,Engineer,Not Hired
32,Female,White,Divorced,High School,40,4,9,Engineer,Hired
49,Female,Black,Divorced,High School,8,10,7,Management,Hired
49,Female,White,Single,Master's,20,7,8,Management,Hired
41,Non-Binary,Black,Married,Bachelor's,2,10,2,HR,Hired
58,Male,Prefer not to say,Single,Master's,24,3,5,Management,Not Hired
29,Male,White,Married,PhD,24,8,9,Sales,Hired
56,Female,White,Single,Bachelor's,11,3,1,Engineer,Not Hired
19,Female,Asian,Divorced,Master's,28,8,1,Sales,Hired
20,Female,White,Married,Master's,10,2,10,Marketing,Not Hired
54,Prefer not to say,White,Married,Bachelor's,10,5,8,Sales,Hired
34,Female,Asian,Single,Master's,25,4,2,Engineer,Not Hired
19,Prefer not to say,Other,Married,PhD,13,9,9,Marketing,Hired
19,Male,Other,Divorced,High School,15,3,10,HR,Not Hired
45,Non-Binary,Asian,Divorced,PhD,9,5,9,Marketing,Hired
40,Non-Binary,Hispanic,Divorced,Master's,30,10,4,Management,Hired
54,Non-Binary,White,Single,High School,30,9,2,Engineer,Not Hired
49,Non-Binary,White,Married,Bachelor's,35,6,3,Management,Hired
50,Prefer not to say,Asian,Single,PhD,9,2,10,Sales,Hired
18,Prefer not to say,Asian,Divorced,Bachelor's,25,1,1,HR,Not Hired
36,Female,Hispanic,Married,High School,19,1,3,Engineer,Not Hired
19,Prefer not to say,Prefer not to say,Divorced,Master's,8,7,5,HR,Not Hired
61,Female,Other,Married,High School,14,2,3,Engineer,Not Hired
43,Female,Black,Married,High School,8,7,3,Management,Not Hired
49,Non-Binary,Prefer not to say,Single,Bachelor's,6,1,10,Sales,Not Hired
23,Prefer not to say,Other,Married,PhD,25,4,6,Marketing,Not Hired
49,Prefer not to say,White,Divorced,High School,23,10,3,HR,Hired
21,Female,Prefer not to say,Married,Master's,11,4,3,Engineer,Not Hired
28,Female,Asian,Divorced,High School,19,5,9,Engineer,Hired
34,Male,Hispanic,Single,Bachelor's,13,10,2,HR,Not Hired
55,Male,Other,Divorced,PhD,21,1,1,Marketing,Not Hired
41,Female,Hispanic,Married,Master's,15,7,10,Sales,Hired
22,Male,Other,Divorced,Bachelor's,28,2,8,Engineer,Hired
51,Male,Prefer not to say,Divorced,High School,31,2,3,Engineer,Hired
23,Female,White,Married,High School,18,8,7,HR,Hired
39,Female,Black,Divorced,PhD,34,9,2,HR,Hired
28,Prefer not to say,Hispanic,Married,Bachelor's,31,6,8,Engineer,Hired
65,Female,Hispanic,Single,Bachelor's,19,1,9,Engineer,Not Hired
33,Female,Black,Divorced,PhD,39,1,8,Engineer,Hired
50,Non-Binary,Hispanic,Single,Master's,19,7,8,Management,Hired
26,Prefer not to say,Hispanic,Divorced,Bachelor's,7,8,8,Engineer,Not Hired
23,Prefer not to say,Other,Divorced,PhD,34,3,7,Sales,Hired
33,Prefer not to say,Other,Single,Bachelor's,12,9,2,Sales,Not Hired
46,Non-Binary,Black,Divorced,PhD,40,4,8,Marketing,Hired
20,Female,White,Divorced,High School,5,4,5,HR,Not Hired
37,Prefer not to say,Prefer not to say,Single,High School,15,3,6,Marketing,Not Hired
53,Prefer not to say,Prefer not to say,Divorced,Bachelor's,4,8,4,Engineer,Not Hired
36,Male,Hispanic,Married,Bachelor's,33,9,1,HR,Hired
43,Prefer not to say,White,Divorced,High School,5,1,5,Engineer,Not Hired
20,Female,Black,Divorced,Master's,32,2,3,HR,Not Hired
36,Female,Black,Divorced,PhD,14,1,9,Management,Not Hired
37,Male,Other,Single,Master's,14,4,4,Management,Not Hired
49,Prefer not to say,Hispanic,Married,Master's,13,10,10,Management,Hired
24,Prefer not to say,Asian,Married,Master's,38,7,2,Marketing,Hired
58,Prefer not to say,Black,Divorced,High School,4,7,4,HR,Not Hired
50,Non-Binary,Hispanic,Single,Bachelor's,25,6,3,Marketing,Hired
57,Prefer not to say,White,Single,Master's,16,5,3,HR,Hired
56,Female,Other,Married,High School,15,4,5,Engineer,Not Hired
35,Female,Prefer not to say,Single,PhD,34,8,1,Management,Hired
57,Non-Binary,White,Divorced,Bachelor's,37,7,5,Management,Hired
18,Non-Binary,Black,Divorced,PhD,22,10,8,HR,Hired
28,Prefer not to say,Black,Single,Master's,12,1,10,Marketing,Not Hired
45,Male,White,Divorced,Bachelor's,32,6,9,Marketing,Hired
42,Non-Binary,Black,Married,Master's,28,2,1,Sales,Not Hired
40,Non-Binary,Hispanic,Divorced,Bachelor's,33,4,2,Management,Hired
48,Prefer not to say,Black,Single,Master's,33,5,2,Management,Hired
47,Prefer not to say,Other,Married,PhD,26,8,6,Marketing,Hired
59,Non-Binary,Hispanic,Divorced,PhD,14,6,1,Management,Not Hired
52,Male,Asian,Married,Master's,8,2,1,Marketing,Not Hired
24,Non-Binary,Black,Single,Bachelor's,25,5,2,Sales,Not Hired
33,Prefer not to say,Black,Divorced,PhD,2,5,4,HR,Not Hired
43,Prefer not to say,Other,Divorced,Bachelor's,35,6,2,HR,Hired
65,Non-Binary,Other,Married,Bachelor's,4,1,4,Sales,Not Hired
19,Male,Prefer not to say,Divorced,PhD,19,8,3,Management,Hired
18,Non-Binary,White,Divorced,High School,19,3,3,Engineer,Not Hired
65,Non-Binary,White,Divorced,High School,4,5,9,Management,Hired
29,Prefer not to say,White,Divorced,Bachelor's,9,7,8,Marketing,Not Hired
22,Male,Other,Single,PhD,15,3,10,Engineer,Hired
54,Female,White,Divorced,High School,24,10,9,Sales,Hired
49,Male,White,Married,Master's,24,6,1,HR,Not Hired
26,Non-Binary,Asian,Single,Bachelor's,29,5,5,HR,Hired
58,Non-Binary,White,Married,High School,13,7,4,Management,Not Hired
52,Non-Binary,Black,Married,PhD,21,10,9,HR,Hired
36,Male,Prefer not to say,Married,PhD,27,3,3,Management,Not Hired
65,Prefer not to say,Other,Single,Bachelor's,29,2,5,Marketing,Hired
33,Non-Binary,Hispanic,Single,PhD,18,4,8,Marketing,Hired
20,Non-Binary,Prefer not to say,Single,Master's,37,3,10,Sales,Hired
37,Male,Asian,Divorced,Master's,19,4,5,Marketing,Hired
41,Female,Other,Married,High School,34,7,9,Management,Hired
50,Female,Other,Single,PhD,21,5,2,HR,Hired
41,Prefer not to say,Black,Married,Master's,14,4,6,Marketing,Hired
28,Prefer not to say,Prefer not to say,Single,Bachelor's,10,6,5,Marketing,Not Hired
25,Non-Binary,Prefer not to say,Single,PhD,33,7,9,Management,Hired
53,Male,White,Single,High School,23,5,7,Marketing,Hired
55,Non-Binary,Black,Married,Bachelor's,5,7,8,HR,Not Hired
57,Prefer not to say,White,Divorced,Bachelor's,16,3,7,HR,Not Hired
37,Male,White,Single,Bachelor's,27,7,10,HR,Hired
52,Male,Other,Single,Master's,30,3,10,HR,Hired
65,Prefer not to say,Prefer not to say,Single,Bachelor's,35,6,5,Engineer,Hired
42,Female,White,Divorced,Master's,8,8,5,HR,Not Hired
52,Female,Asian,Married,Bachelor's,9,6,4,Engineer,Not Hired
42,Male,Asian,Married,Master's,20,10,2,HR,Hired
46,Non-Binary,Prefer not to say,Married,PhD,33,3,9,HR,Hired
35,Female,Asian,Married,Master's,30,5,10,Management,Hired
63,Non-Binary,Other,Single,Master's,28,9,10,HR,Hired
35,Female,Black,Divorced,PhD,10,8,10,Marketing,Hired
19,Female,Hispanic,Single,Bachelor's,32,6,10,HR,Hired
52,Non-Binary,White,Divorced,PhD,0,9,3,Sales,Not Hired
33,Prefer not to say,Hispanic,Married,Bachelor's,20,2,3,Management,Not Hired
58,Female,Black,Divorced,Master's,22,9,3,Management,Not Hired
53,Female,Black,Single,Bachelor's,8,10,8,HR,Hired
50,Non-Binary,Other,Single,Master's,0,10,6,Sales,Hired
21,Prefer not to say,Asian,Married,Bachelor's,20,6,1,HR,Not Hired
50,Female,Asian,Single,Master's,21,9,3,Marketing,Hired
31,Female,Black,Single,Master's,3,4,4,Management,Not Hired
38,Prefer not to say,Other,Divorced,High School,0,5,2,Management,Not Hired
65,Female,Other,Single,Bachelor's,9,2,6,Sales,Not Hired
37,Prefer not to say,Prefer not to say,Married,Bachelor's,14,3,10,Engineer,Not Hired
25,Prefer not to say,White,Married,High School,35,1,1,Sales,Not Hired
24,Non-Binary,Asian,Single,Master's,28,4,1,Marketing,Not Hired
20,Male,Black,Married,Master's,4,2,8,Sales,Not Hired
34,Prefer not to say,Prefer not to say,Divorced,High School,28,2,4,Engineer,Not Hired
50,Non-Binary,Hispanic,Divorced,High School,26,1,1,Marketing,Not Hired
65,Male,Asian,Single,PhD,24,10,7,Marketing,Hired
29,Female,White,Single,Master's,15,2,9,Engineer,Not Hired
39,Male,Other,Divorced,PhD,15,4,10,HR,Not Hired
39,Prefer not to say,Black,Married,Bachelor's,35,6,7,Sales,Hired
63,Prefer not to say,Asian,Single,PhD,24,7,1,Marketing,Not Hired
47,Prefer not to say,Hispanic,Single,High School,40,7,1,Sales,Not Hired
55,Prefer not to say,White,Married,High School,0,7,1,Engineer,Not Hired
55,Prefer not to say,White,Single,High School,4,4,8,Management,Not Hired
62,Non-Binary,Prefer not to say,Married,High School,40,5,7,Engineer,Hired
25,Prefer not to say,Asian,Married,PhD,19,3,3,Sales,Not Hired
44,Non-Binary,Hispanic,Married,PhD,4,1,3,Marketing,Not Hired
44,Female,White,Married,PhD,35,8,3,Sales,Hired
51,Prefer not to say,Black,Married,High School,28,10,2,Management,Hired
38,Prefer not to say,White,Divorced,High School,33,7,4,Marketing,Hired
47,Male,Hispanic,Married,Master's,17,9,7,Management,Hired
50,Female,Other,Divorced,Master's,1,10,9,HR,Hired
45,Prefer not to say,Other,Married,High School,15,4,3,Engineer,Not Hired
64,Prefer not to say,Prefer not to say,Single,Master's,28,5,10,HR,Hired
50,Female,Asian,Divorced,Bachelor's,32,5,7,Sales,Hired
22,Non-Binary,Hispanic,Single,Bachelor's,15,7,4,HR,Not Hired
65,Prefer not to say,Prefer not to say,Married,High School,34,9,1,Engineer,Hired
36,Male,White,Married,PhD,16,8,5,Marketing,Not Hired
21,Prefer not to say,White,Single,Bachelor's,3,7,8,Management,Not Hired
52,Male,Other,Married,Bachelor's,3,1,3,Marketing,Not Hired
34,Male,Prefer not to say,Single,PhD,24,10,10,HR,Hired
61,Prefer not to say,Other,Married,Master's,32,6,4,Sales,Hired
45,Prefer not to say,Black,Married,PhD,13,10,3,HR,Hired
47,Male,Other,Divorced,Master's,23,9,10,Engineer,Hired
46,Female,Black,Single,Master's,10,7,8,Engineer,Hired
63,Female,White,Married,PhD,24,1,10,Sales,Not Hired
23,Prefer not to say,Prefer not to say,Single,Master's,27,9,8,Marketing,Hired
52,Non-Binary,Black,Divorced,Bachelor's,6,3,4,Engineer,Not Hired
58,Female,Prefer not to say,Single,High School,35,9,2,Engineer,Hired
54,Prefer not to say,Prefer not to say,Divorced,Master's,9,4,3,Sales,Not Hired
41,Female,Black,Single,Bachelor's,35,9,3,Marketing,Hired
46,Non-Binary,Asian,Single,PhD,30,8,4,HR,Hired
63,Prefer not to say,Other,Divorced,Master's,18,7,2,Management,Hired
48,Non-Binary,Black,Married,Bachelor's,17,4,2,Sales,Not Hired
52,Prefer not to say,White,Married,Master's,5,9,3,Marketing,Hired
50,Non-Binary,Prefer not to say,Married,PhD,27,4,1,Management,Not Hired
38,Female,Hispanic,Single,High School,6,1,8,Sales,Not Hired
49,Female,Black,Single,Master's,37,6,6,HR,Hired
40,Non-Binary,Other,Married,High School,11,4,3,HR,Not Hired
50,Non-Binary,Prefer not to say,Single,Master's,40,10,1,Marketing,Hired
20,Non-Binary,Asian,Single,Master's,33,3,3,Marketing,Not Hired
35,Prefer not to say,White,Married,PhD,24,5,1,HR,Not Hired
42,Female,Asian,Divorced,Master's,16,3,3,HR,Not Hired
59,Prefer not to say,Hispanic,Single,Bachelor's,32,9,4,Sales,Hired
48,Female,Black,Single,Bachelor's,22,6,6,Marketing,Not Hired
20,Male,Prefer not to say,Single,High School,8,3,7,Management,Not Hired
57,Prefer not to say,Black,Single,High School,5,5,7,HR,Not Hired
63,Female,Other,Divorced,Bachelor's,1,8,9,Management,Hired
41,Female,Black,Married,High School,37,8,8,Marketing,Hired
49,Prefer not to say,White,Single,High School,8,6,4,Marketing,Not Hired
64,Prefer not to say,Hispanic,Married,Bachelor's,2,5,6,Engineer,Not Hired
39,Female,Asian,Single,Bachelor's,15,5,1,HR,Not Hired
40,Prefer not to say,Hispanic,Divorced,Bachelor's,24,1,8,Marketing,Hired
19,Non-Binary,Prefer not to say,Married,PhD,23,2,6,Marketing,Not Hired
44,Prefer not to say,Black,Divorced,PhD,28,4,2,HR,Hired
59,Prefer not to say,Prefer not to say,Single,Bachelor's,39,6,8,Engineer,Hired
19,Prefer not to say,Asian,Divorced,Master's,25,7,4,Engineer,Hired
43,Female,Prefer not to say,Divorced,Bachelor's,37,1,9,Engineer,Hired
34,Non-Binary,Other,Single,PhD,34,8,4,Engineer,Hired
57,Male,Hispanic,Single,High School,22,1,1,Sales,Not Hired
50,Male,Asian,Married,Master's,3,9,7,HR,Hired
26,Non-Binary,Asian,Single,Master's,13,4,10,HR,Hired
60,Non-Binary,Asian,Married,High School,38,7,5,HR,Hired
65,Non-Binary,White,Divorced,Master's,6,6,10,Engineer,Hired
56,Female,Hispanic,Divorced,High School,7,9,5,Engineer,Hired
46,Male,Prefer not to say,Married,PhD,18,2,4,Marketing,Not Hired
59,Non-Binary,Asian,Single,Master's,1,7,6,Sales,Not Hired
43,Female,Hispanic,Single,Master's,0,5,1,HR,Not Hired
52,Male,Asian,Divorced,High School,37,7,3,Sales,Hired
42,Prefer not to say,Other,Married,High School,12,1,7,HR,Not Hired
41,Female,Other,Divorced,PhD,23,10,8,Engineer,Hired
30,Male,Other,Divorced,High School,31,9,9,Engineer,Hired
24,Female,Black,Single,High School,29,1,1,HR,Not Hired
53,Male,Asian,Married,PhD,5,5,4,Management,Not Hired
62,Male,Black,Divorced,Bachelor's,37,8,2,Engineer,Hired
37,Prefer not to say,Hispanic,Single,Bachelor's,32,1,2,Marketing,Not Hired
